,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
31,Cape Town,-33.9258,18.4232,53.11,89,100,3.44,ZA,1660450503
32,Lüderitz,-26.6481,15.1594,52.39,64,43,6.67,NA,1660450874
33,Zaysan,47.4667,84.8667,77.67,35,0,8.41,KZ,1660450874
34,Inírida,3.8653,-67.9239,71.46,95,99,0.69,CO,1660450875
35,Albany,42.6001,-73.9662,61.52,79,32,3.6,US,1660450670
36,Nikolskoye,59.7035,30.7861,66.78,73,50,3.04,RU,1660450791
37,Saint-Philippe,-21.3585,55.7679,68.22,75,60,14.32,RE,1660450714
38,Ulladulla,-35.35,150.4667,63.5,41,29,12.88,AU,1660450876
39,Níjar,36.9665,-2.206,84.65,37,0,4.61,ES,1660450877
40,Khandyga,62.6667,135.6,75.6,43,34,2.8,RU,1660450877
41,Shenjiamen,29.9576,122.298,84.09,79,97,20.15,CN,1660450877
42,Labuhan,-6.8844,112.2051,86.23,63,100,9.33,ID,1660450878
43,Winslow,35.0242,-110.6974,78.98,44,0,8.05,US,1660450879
44,Saint Paul Harbor,57.79,-152.4072,54.91,88,100,8.05,US,1660450716
45,Port Elizabeth,-33.918,25.5701,50.31,82,25,1.99,ZA,1660450828
46,Balakliya,49.4627,36.8595,77.43,49,99,19.51,UA,1660450879
47,George Town,5.4112,100.3354,87.75,70,20,6.91,MY,1660450525
48,Thompson,55.7435,-97.8558,51.96,76,0,0.0,CA,1660450502
49,Dikson,73.5069,80.5464,44.62,100,100,6.13,RU,1660450714
50,Ilulissat,69.2167,-51.1,44.62,65,96,4.61,GL,1660450825
51,Eilat,29.5581,34.9482,76.84,57,0,5.75,IL,1660450881
52,Bethel,41.3712,-73.414,65.64,76,100,0.0,US,1660450766
53,Port Alfred,-33.5906,26.891,50.18,83,0,7.0,ZA,1660450720
54,Paamiut,61.994,-49.6678,43.97,94,100,5.64,GL,1660450881
55,Örnsköldsvik,63.2909,18.7153,58.15,94,75,1.14,SE,1660450723
56,Fortuna,40.5982,-124.1573,62.65,86,0,9.22,US,1660450882
57,Tsimmerbude,54.675,20.1347,69.96,84,85,8.41,RU,1660450883
58,Buraidah,26.326,43.975,88.25,19,15,7.61,SA,1660450883
59,Bubaque,11.2833,-15.8333,79.43,81,99,18.61,GW,1660450884
60,Tuktoyaktuk,69.4541,-133.0374,46.4,93,75,16.11,CA,1660450842
61,Mataura,-46.1927,168.8643,50.49,63,4,5.59,NZ,1660450751
62,Geraldton,-28.7667,114.6,66.61,59,100,4.61,AU,1660450760
63,Havelock,34.8791,-76.9013,75.94,81,0,0.0,US,1660450885
64,Lubaczów,50.157,23.1234,64.51,97,65,5.73,PL,1660450886
65,Severo-Kuril'sk,50.6789,156.125,55.31,96,100,15.3,RU,1660450886
66,Hilo,19.7297,-155.09,79.29,81,100,3.44,US,1660450734
67,Atuona,-9.8,-139.0333,77.36,69,0,20.83,PF,1660450715
68,Hobart,-42.8794,147.3294,57.06,91,75,13.8,AU,1660450504
69,Constitución,-35.3333,-72.4167,51.04,93,100,6.93,CL,1660450887
70,Rome,43.2128,-75.4557,57.87,89,0,4.61,US,1660450881
71,Hermanus,-34.4187,19.2345,50.81,78,80,17.05,ZA,1660450741
72,Guerrero Negro,27.9769,-114.0611,73.11,81,2,14.47,MX,1660450764
73,Banda Aceh,5.5577,95.3222,85.75,61,100,6.22,ID,1660450888
74,Denpasar,-8.65,115.2167,83.86,79,20,9.22,ID,1660450658
75,Kasongo-Lunda,-6.4667,16.8167,62.24,82,5,1.34,CD,1660450889
76,Hanstholm,57.1167,8.6167,64.89,72,22,2.75,DK,1660450889
77,Avera,33.194,-82.5271,69.31,45,24,3.6,US,1660450890
78,Port Lincoln,-34.7333,135.8667,58.15,69,88,12.68,AU,1660450890
79,Vila Velha,-20.3297,-40.2925,65.95,83,20,1.14,BR,1660450891
80,Domoni,-12.2569,44.5319,73.81,79,0,3.83,KM,1660450891
81,Quatre Cocos,-20.2078,57.7625,70.09,65,97,17.67,MU,1660450891
82,Russell,32.3502,-85.1999,76.23,100,0,0.0,US,1660450892
83,Fare,-16.7,-151.0167,78.04,76,3,14.43,PF,1660450892
84,Richards Bay,-28.783,32.0377,64.71,92,100,5.23,ZA,1660450752
85,Makkah al Mukarramah,21.4267,39.8261,89.02,47,39,4.83,SA,1660450820
86,Lebu,-37.6167,-73.65,48.52,82,100,6.53,CL,1660450680
87,Teguise,29.0605,-13.564,68.22,78,0,18.41,ES,1660450893
88,Upernavik,72.7868,-56.1549,43.59,73,100,7.43,GL,1660450894
89,Marsá Maţrūḩ,31.3525,27.2453,75.4,78,40,4.61,EG,1660450894
90,Puerto Ayora,-0.7393,-90.3518,68.56,95,100,5.01,EC,1660450758
91,Nanortalik,60.1432,-45.2371,44.28,99,100,6.31,GL,1660450760
92,Juneau,58.3019,-134.4197,61.21,90,100,10.36,US,1660450895
93,Bambous Virieux,-20.3428,57.7575,70.21,64,20,19.57,MU,1660450717
94,Yuzhno-Kurilsk,44.0306,145.8556,66.13,97,100,4.09,RU,1660450896
95,Ushuaia,-54.8,-68.3,37.06,93,100,16.11,AR,1660450490
96,Agadez,19.75,10.25,84.13,15,62,9.8,NE,1660450896
97,Xai-Xai,-25.0519,33.6442,68.95,68,19,15.5,MZ,1660450897
98,Dingle,10.9995,122.6711,84.56,78,74,9.33,PH,1660450746
99,Kungurtug,50.5994,97.5228,67.1,48,51,7.67,RU,1660450897
100,Nānākuli,21.3906,-158.1547,84.15,57,20,10.36,US,1660450898
101,Talnakh,69.4865,88.3972,67.21,37,79,17.38,RU,1660450898
102,Semey,50.4111,80.2275,77.22,38,0,11.18,KZ,1660450826
103,Sechura,-5.5569,-80.8222,62.62,86,3,12.37,PE,1660450899
104,Kruisfontein,-34.0033,24.7314,45.88,84,11,10.76,ZA,1660450899
105,Busselton,-33.65,115.3333,60.04,58,15,9.6,AU,1660450460
106,Omboué,-1.5746,9.2618,72.9,76,100,8.46,GA,1660450900
107,Abhā,18.2164,42.5053,66.45,88,95,0.0,SA,1660450901
108,Butaritari,3.0707,172.7902,81.39,77,68,16.11,KI,1660450729
109,Aklavik,68.2191,-135.0107,54.97,71,42,18.92,CA,1660450901
110,Balyqshy,47.0667,51.8667,80.6,22,0,8.95,KZ,1660450902
111,Chokurdakh,70.6333,147.9167,48.69,55,46,8.3,RU,1660450727
112,Panzhihua,26.5851,101.7128,85.57,59,52,1.45,CN,1660450902
113,Kavieng,-2.5744,150.7967,83.75,62,100,7.25,PG,1660450903
114,Sitka,57.0531,-135.33,60.69,77,100,5.75,US,1660450929
115,Salalah,17.0151,54.0924,75.13,97,100,7.67,OM,1660450538
116,Valparaíso,-33.0393,-71.6273,53.47,100,0,4.61,CL,1660450850
117,Narsaq,60.9167,-46.05,44.82,98,100,0.69,GL,1660450930
118,Oodweyne,9.4092,45.064,72.39,56,90,19.15,SO,1660450757
119,Ilhéus,-14.7889,-39.0494,67.6,88,88,8.16,BR,1660450931
120,Andenes,69.3143,16.1194,49.98,76,75,13.8,NO,1660450931
121,Megion,61.0296,76.1136,53.62,68,95,23.98,RU,1660450931
122,Playas,-2.6333,-80.3833,69.3,86,76,11.43,EC,1660450932
123,Ancud,-41.8697,-73.8203,45.73,81,19,25.26,CL,1660450715
124,Oktyabr'skiy,54.4815,53.471,64.49,55,70,7.61,RU,1660450933
125,Tiksi,71.6872,128.8694,43.02,83,98,14.74,RU,1660450842
126,Marsala,37.7966,12.4352,76.93,78,20,4.61,IT,1660450933
127,Ojuelos de Jalisco,21.8667,-101.5833,59.02,84,98,2.66,MX,1660450934
128,Fairbanks,64.8378,-147.7164,73.4,67,0,3.44,US,1660450853
129,Toora-Khem,52.4675,96.11,61.12,77,100,1.48,RU,1660450934
130,La Macarena,2.1837,-73.7849,70.9,93,74,2.04,CO,1660450935
131,Noumea,-22.2763,166.4572,76.98,99,86,12.15,NC,1660450935
132,Esim,4.8699,-2.2405,74.3,88,100,10.54,GH,1660450936
133,Vardø,70.3705,31.1107,53.58,82,100,3.44,NO,1660450744
134,Santa Cruz de la Sierra,-17.8,-63.1667,69.26,88,20,4.61,BO,1660450803
135,Tolga,34.7222,5.3785,85.01,24,18,3.4,DZ,1660450937
136,Mossamedes,-15.1961,12.1522,62.82,89,48,1.12,AO,1660450937
137,Esperance,-33.8667,121.9,60.64,55,43,16.87,AU,1660450937
138,Biak,-0.9131,122.8766,82.15,70,98,8.19,ID,1660450938
139,Khatanga,71.9667,102.5,62.37,40,0,10.96,RU,1660450938
140,San Cristobal,7.7669,-72.225,71.78,99,93,2.42,VE,1660450734
141,Carnarvon,-24.8667,113.6333,70.52,55,0,1.66,AU,1660450751
142,Mar del Plata,-38.0023,-57.5575,57.09,83,0,25.01,AR,1660450732
143,Wittingen,52.7269,10.7361,66.97,100,100,4.7,DE,1660450939
144,Inhambane,-23.865,35.3833,73.38,94,75,16.11,MZ,1660451070
145,New Norfolk,-42.7826,147.0587,56.7,93,99,10.49,AU,1660450755
146,Pokhara,28.2333,83.9833,80.85,77,100,4.45,NP,1660451071
147,Newton,42.337,-71.2092,65.28,81,20,0.0,US,1660450963
148,Killam,52.7834,-111.8518,67.95,60,7,9.22,CA,1660451071
149,Saint Petersburg,59.8944,30.2642,61.11,85,19,0.0,RU,1660451072
150,Nouadhibou,20.931,-17.0347,72.01,88,88,11.63,MR,1660451072
151,Bom Jesus,-9.0744,-44.3586,74.08,48,20,5.93,BR,1660451073
152,Panguna,-6.3164,155.4848,77.56,75,32,0.43,PG,1660451073
153,Nizwá,22.9333,57.5333,81.45,63,100,1.34,OM,1660451073
154,Tarakan,3.3,117.6333,85.5,74,40,4.61,ID,1660451045
155,Srednekolymsk,67.45,153.6833,45.14,73,100,14.85,RU,1660451074
156,Saskylakh,71.9167,114.0833,55.98,41,39,7.54,RU,1660450793
157,Kaeo,-35.1,173.7833,59.32,68,98,4.65,NZ,1660451075
158,Cabo San Lucas,22.8909,-109.9124,86.5,78,35,4.38,MX,1660451075
159,Namatanai,-3.6667,152.4333,83.48,69,98,4.7,PG,1660451075
160,Bandarbeyla,9.4942,50.8122,79.9,60,46,27.13,SO,1660450734
161,Dunedin,-45.8742,170.5036,51.96,59,0,12.03,NZ,1660451076
162,Tabou,4.423,-7.3528,75.43,82,56,10.71,CI,1660451077
163,Tasiilaq,65.6145,-37.6368,35.76,67,4,7.05,GL,1660450718
164,Imeni Poliny Osipenko,52.4201,136.4853,70.25,64,50,3.22,RU,1660451077
165,Asarganj,25.15,86.6833,85.69,69,99,22.97,IN,1660451078
166,Astoria,46.1879,-123.8313,64.29,85,0,8.05,US,1660451078
167,Neiafu,-18.65,-173.9833,75.88,73,40,9.22,TO,1660451078
168,Snihurivka,47.0758,32.8052,69.78,78,100,8.19,UA,1660451079
169,Codrington,-38.2667,141.9667,55.6,81,66,19.48,AU,1660451079
170,Avarua,-21.2078,-159.775,69.85,94,100,9.22,CK,1660450739
171,La Troncal,-2.4,-79.3333,70.75,87,39,1.97,EC,1660451080
172,Klaksvík,62.2266,-6.589,52.72,93,98,10.13,FO,1660450747
173,Santa Vitória do Palmar,-33.5189,-53.3681,53.83,91,3,5.57,BR,1660451081
174,Arlit,18.7369,7.3853,89.92,35,36,10.45,NE,1660451081
175,Mayo,38.8876,-76.5119,72.0,82,0,1.01,US,1660451082
176,Sumbawanga,-7.9667,31.6167,54.34,57,27,2.06,TZ,1660451082
177,Viedma,-40.8135,-62.9967,57.7,48,9,15.14,AR,1660451083
178,Swansea,51.6208,-3.9432,70.41,69,92,5.35,GB,1660451083
179,Charters Towers,-20.1,146.2667,75.67,25,2,7.94,AU,1660451084
180,Rocha,-34.4833,-54.3333,52.56,95,4,5.77,UY,1660451084
181,Zhezkazgan,47.8043,67.7144,80.58,26,0,13.42,KZ,1660451084
182,Neuquén,-38.9516,-68.0591,53.49,43,0,8.05,AR,1660450823
183,Kaitangata,-46.2817,169.8464,51.06,65,4,12.48,NZ,1660451085
184,Taoudenni,22.6783,-3.9836,92.88,27,48,7.96,ML,1660451085
185,Yangi Marg`ilon,40.4272,71.7189,86.72,26,0,4.61,UZ,1660451086
186,Riyadh,24.6877,46.7219,93.34,16,41,13.8,SA,1660450936
187,Deputatsky,69.3,139.9,38.7,88,100,5.75,RU,1660451086
188,Huarmey,-10.0681,-78.1522,62.06,86,31,7.02,PE,1660451087
189,Leshukonskoye,64.8989,45.7622,52.52,72,12,3.67,RU,1660451087
190,Løgstør,56.9624,9.2583,58.78,64,60,6.04,DK,1660451088
191,San Juan,-31.5375,-68.5364,58.12,24,1,1.41,AR,1660450821
192,Ust-Nera,64.5667,143.2,71.69,41,74,4.27,RU,1660451088
193,Dahuk,36.8695,42.994,87.28,27,0,2.35,IQ,1660451089
194,Narodychi,51.2029,29.0823,62.64,82,89,7.94,UA,1660451089
195,Passagem Franca,-6.1797,-43.7836,74.34,46,16,5.23,BR,1660451090
196,Laguna,38.421,-121.4238,84.31,37,0,6.91,US,1660451090
197,Province of Mantua,45.1667,10.7833,70.84,85,19,2.53,IT,1660451091
198,Souillac,-20.5167,57.5167,70.18,64,20,19.57,MU,1660450842
199,Saint Anthony,45.0205,-93.218,65.66,80,100,9.22,US,1660451091
200,Keti Bandar,24.1447,67.4497,82.42,84,100,18.07,PK,1660451092
201,Saldanha,-33.0117,17.9442,50.05,70,28,18.77,ZA,1660451092
202,Gao,16.6362,1.637,89.73,33,84,8.08,ML,1660451093
203,Sabang,5.8933,95.3214,82.35,70,80,6.85,ID,1660451093
204,Saint-Augustin,51.226,-58.6502,59.25,92,100,8.32,CA,1660451093
205,East London,-33.0153,27.9116,56.34,62,0,16.11,ZA,1660450758
206,Provideniya,64.3833,-173.3,44.83,66,89,4.03,RU,1660450720
207,Būlaevo,54.9056,70.4439,61.66,54,3,14.5,KZ,1660451094
208,College,64.8569,-147.8028,73.38,66,75,3.44,US,1660450650
209,Beisfjord,68.3751,17.5988,52.05,92,96,4.83,NO,1660451095
210,Ihiala,5.8538,6.8603,71.04,98,100,3.76,NG,1660451095
211,Longyearbyen,78.2186,15.6401,42.64,87,75,10.36,SJ,1660450750
212,Katsuura,35.1333,140.3,80.46,86,100,24.16,JP,1660451096
213,Haines Junction,60.7522,-137.5108,62.55,55,12,6.91,CA,1660451096
214,Cockburn Town,21.4612,-71.1419,81.55,79,14,13.78,TC,1660450951
215,Broken Hill,-31.95,141.4333,60.33,40,20,16.17,AU,1660451097
216,Paducah,37.0834,-88.6001,69.21,92,0,0.0,US,1660451097
217,Necochea,-38.5473,-58.7368,55.87,80,11,16.4,AR,1660451098
218,Stokmarknes,68.5646,14.9108,49.98,76,100,1.14,NO,1660451098
219,Mezhdurechensk,53.6942,88.0603,60.37,90,71,9.28,RU,1660451099
220,Conde,-7.2597,-34.9075,69.26,94,40,8.05,BR,1660451099
221,Bilma,18.6853,12.9164,91.22,26,37,5.17,NE,1660451100
222,Athabasca,54.7169,-113.2854,68.41,80,38,4.81,CA,1660451100
223,Matara,5.9485,80.5353,83.75,70,100,13.33,LK,1660451101
224,Gobabis,-22.45,18.9667,45.3,50,2,8.41,NA,1660451101
225,Edson,53.5835,-116.4356,57.34,100,100,9.22,CA,1660451102
226,Nyurba,63.2842,118.3319,54.41,99,100,2.17,RU,1660451102
227,Qui Nhon,13.7667,109.2333,89.22,61,92,4.72,VN,1660450934
228,Freeport,40.6576,-73.5832,73.36,62,0,10.36,US,1660451103
229,Tres Palos,18.1833,-101.6167,71.6,95,100,1.5,MX,1660451103
230,Tabatinga,-4.2525,-69.9381,77.09,94,40,2.3,BR,1660451103
231,Santa Rosa,14.3122,121.1114,90.09,69,100,2.75,PH,1660450822
232,Barcelona,41.3888,2.159,83.55,78,20,10.36,ES,1660450861
233,Nishihara,26.1842,127.7558,89.65,70,75,16.11,JP,1660451104
234,Dakar,14.6937,-17.4441,81.48,78,100,19.64,SN,1660451105
235,Gandai,21.6667,81.1,78.17,84,100,11.45,IN,1660451105
236,Tottori-shi,35.5,134.2333,80.67,89,75,14.97,JP,1660451106
237,Santa Maria,-29.6842,-53.8069,57.97,93,0,4.81,BR,1660451030
238,Makakilo City,21.3469,-158.0858,82.72,61,20,16.11,US,1660451106
239,Vila do Maio,15.1333,-23.2167,79.59,83,99,11.45,CV,1660451107
240,Lufilufi,-13.8745,-171.5986,80.38,75,97,6.49,WS,1660451107
241,Bredasdorp,-34.5322,20.0403,49.17,86,74,15.75,ZA,1660450756
242,Simões,-7.5989,-40.8178,68.54,57,28,14.9,BR,1660451108
243,Malya,-2.9833,33.5167,66.52,59,84,5.06,TZ,1660451108
244,Airai,-8.9266,125.4092,76.32,38,35,5.19,TL,1660450827
245,Kabinda,-6.1333,24.4833,66.43,56,91,2.8,CD,1660451109
246,Port Macquarie,-31.4333,152.9167,68.9,32,40,8.57,AU,1660450893
247,Rio Grande,-32.035,-52.0986,57.63,91,0,5.66,BR,1660451110
248,Yangjiang,21.85,111.9667,86.94,71,9,3.89,CN,1660451110
249,Mingora,34.7758,72.3625,82.85,69,95,3.98,PK,1660450981
250,Rantoul,40.3084,-88.1559,71.44,87,100,6.91,US,1660451111
251,Aykhal,66.0,111.5,51.8,72,86,13.98,RU,1660450727
252,Chui,-33.6971,-53.4616,53.53,92,6,5.84,UY,1660451112
253,Jackson,42.4165,-122.8345,78.67,25,0,4.61,US,1660450843
254,Ulfborg,56.2673,8.3217,59.9,62,73,7.25,DK,1660451112
255,Korla,41.7597,86.1469,86.94,25,36,10.47,CN,1660451113
256,Kudahuvadhoo,2.6708,72.8944,81.61,77,84,6.55,MV,1660451113
257,Nemuro,43.3236,145.575,66.47,96,100,5.64,JP,1660451114
258,Beringovskiy,63.05,179.3167,45.73,72,17,6.04,RU,1660451114
259,Saint-Joseph,-21.3667,55.6167,67.21,73,44,13.27,RE,1660451114
260,São Filipe,14.8961,-24.4956,75.25,88,100,9.86,CV,1660451115
261,Ixtapa,20.7,-105.2,81.63,78,100,3.44,MX,1660451115
262,Ţahţā,26.7693,31.5021,79.56,42,5,10.33,EG,1660451116
263,Vao,-22.6667,167.4833,71.73,74,97,23.33,NC,1660450722
264,Vaitape,-16.5167,-151.75,77.88,76,13,10.89,PF,1660451116
265,Abapó,-18.8333,-63.4667,62.46,70,12,2.53,BO,1660451117
266,Reconquista,-29.15,-59.65,63.72,77,0,9.66,AR,1660451117
267,Esso,55.9333,158.7,68.09,67,100,6.06,RU,1660451118
268,Udachny,66.4167,112.4,55.45,66,91,12.17,RU,1660451118
269,Zyryanka,65.75,150.85,57.47,43,100,17.49,RU,1660451118
270,Shimoda,34.6667,138.95,85.1,89,100,17.27,JP,1660451119
271,São João da Barra,-21.6403,-41.0511,68.02,68,1,10.85,BR,1660451119
272,Kheda,22.75,72.6833,86.29,70,23,11.95,IN,1660451120
273,Bloomfield,40.8068,-74.1854,73.04,61,0,8.05,US,1660451120
274,Elko,41.0002,-115.5012,75.22,43,43,8.99,US,1660451121
275,Kolyvan',55.3053,82.7391,65.82,74,79,19.75,RU,1660451121
276,Isangel,-19.55,169.2667,75.78,71,70,17.96,VU,1660451122
277,Boa Vista,2.8197,-60.6733,78.78,83,20,2.3,BR,1660451122
278,Grindavik,63.8424,-22.4338,48.67,93,75,2.3,IS,1660451123
279,San Antonio,29.4241,-98.4936,85.59,71,0,9.22,US,1660450998
280,Pangkalanbuun,-2.6833,111.6167,89.51,50,100,3.15,ID,1660451123
281,Suriāpet,17.15,79.6167,78.35,81,100,12.35,IN,1660451124
282,Sabha,27.0377,14.4283,79.5,47,0,13.82,LY,1660450829
283,Port Blair,11.6667,92.75,77.04,94,75,4.61,IN,1660451125
284,Astolfo Dutra,-21.3153,-42.8622,57.67,89,5,1.99,BR,1660451125
285,Abnūb,27.2696,31.1511,73.62,48,3,8.97,EG,1660451125
286,Pueblo Nuevo,23.3833,-105.3833,58.14,97,100,1.72,MX,1660451126
287,San Miguel de Cozumel,20.5083,-86.9458,81.0,84,82,7.72,MX,1660451117
288,Adrar,20.5022,-10.0711,88.27,43,0,16.33,MR,1660451127
289,Lompoc,34.6391,-120.4579,62.74,89,75,8.05,US,1660451127
290,Ostrovnoy,68.0531,39.5131,51.73,72,99,15.99,RU,1660450870
291,Coyhaique,-45.5752,-72.0662,35.55,87,100,9.22,CL,1660451128
292,Saint-André-les-Vergers,48.2853,4.0521,62.64,59,0,4.61,FR,1660451128
293,Umluj,25.0213,37.2685,83.95,66,12,5.95,SA,1660450840
294,Cam Ranh,11.9214,109.1591,91.36,58,40,6.91,VN,1660451129
295,Madang,-5.2246,145.7966,84.36,63,68,6.15,PG,1660451129
296,Huadian,42.9633,126.7478,73.22,77,100,3.56,CN,1660451129
297,Peleduy,59.6289,112.7406,58.41,74,91,5.26,RU,1660451130
298,Torbay,47.6666,-52.7314,59.58,97,100,5.99,CA,1660450525
299,Yar-Sale,66.8333,70.8333,49.21,73,100,18.79,RU,1660451131
300,Meulaboh,4.1363,96.1285,83.39,71,100,2.53,ID,1660451131
301,Nuevitas,21.5453,-77.2644,77.5,86,32,3.8,CU,1660451132
302,Ranchuelo,22.3772,-80.1489,76.28,88,35,2.89,CU,1660451132
303,Kaohsiung City,22.6163,120.3133,90.03,64,40,6.91,TW,1660450971
304,Saint George,37.1041,-113.5841,87.64,46,0,6.91,US,1660450531
305,Lorengau,-2.0226,147.2712,84.42,69,100,5.7,PG,1660451133
306,Sault Ste. Marie,46.5168,-84.3333,57.76,86,0,3.44,CA,1660450903
307,Whitehorse,60.7161,-135.0538,66.02,47,75,16.11,CA,1660451133
308,Arraial do Cabo,-22.9661,-42.0278,68.49,72,48,22.62,BR,1660450725
309,Harindānga,22.0383,88.3214,80.78,88,97,20.15,IN,1660451134
310,Ust-Kuyga,70.0167,135.6,58.46,57,97,5.93,RU,1660451134
311,Okato,-39.2,173.8833,55.18,61,71,4.0,NZ,1660451135
312,Faanui,-16.4833,-151.75,77.88,76,13,11.01,PF,1660451135
313,Araouane,18.9048,-3.5265,90.21,39,5,14.27,ML,1660451136
314,Hervey Bay,-25.2986,152.8535,66.25,52,0,7.07,AU,1660451136
315,Ahipara,-35.1667,173.1667,57.13,65,100,4.12,NZ,1660451137
316,Waipawa,-41.4122,175.5153,50.79,70,0,9.06,NZ,1660451137
317,Jinotega,13.0917,-86.0018,65.17,97,100,3.18,NI,1660451137
318,Novikovo,51.1537,37.8879,68.56,78,100,8.16,RU,1660451138
319,Srandakan,-7.9386,110.2506,83.88,72,72,8.75,ID,1660451138
320,Hofn,64.2539,-15.2082,48.04,89,100,6.58,IS,1660451139
321,Guangyuan,32.442,105.823,91.69,59,100,5.26,CN,1660451139
322,Aripuanã,-9.1667,-60.6333,75.15,51,0,0.74,BR,1660451139
323,Altar,30.7,-111.8167,81.88,61,100,7.0,MX,1660451078
324,Bathsheba,13.2167,-59.5167,77.61,94,75,3.44,BB,1660450729
325,Rawson,-43.3002,-65.1023,51.66,39,94,30.67,AR,1660450856
326,Mahon,39.8885,4.2658,81.16,94,0,5.75,ES,1660451141
327,Helena,46.5927,-112.0361,77.99,43,0,1.99,US,1660451141
328,Boshnyakovo,49.6333,142.1667,66.49,71,43,2.68,RU,1660451141
329,Fengrun,39.8333,118.1167,75.49,95,100,5.39,CN,1660451142
330,Uauá,-9.8414,-39.4817,66.6,85,33,10.78,BR,1660451142
331,Kapoeta,4.7717,33.5903,72.5,81,97,2.71,SS,1660451143
332,Tuatapere,-46.1333,167.6833,52.72,58,12,3.49,NZ,1660450754
333,Youghal,51.95,-7.8506,67.55,59,20,5.41,IE,1660451143
334,Leningradskiy,69.3833,178.4167,36.23,77,54,6.2,RU,1660450735
335,Ponta do Sol,32.6667,-17.1,70.72,76,14,1.92,PT,1660450836
336,Dunda,-8.1167,34.25,55.89,86,5,2.46,TZ,1660451144
337,Eyl,7.9803,49.8164,78.57,61,48,24.11,SO,1660451145
338,Ballyhaunis,53.7667,-8.7667,59.72,88,100,4.21,IE,1660451145
339,Goundam,16.4145,-3.6708,87.12,49,47,11.52,ML,1660451146
340,Kuningan,-6.9758,108.4831,84.76,55,79,4.63,ID,1660451146
341,Barra do Garças,-15.89,-52.2567,71.26,36,1,1.81,BR,1660451147
342,Maningrida,-12.0667,134.2667,90.09,32,40,9.44,AU,1660451147
343,Poienile de sub Munte,47.8167,24.4333,57.42,93,25,4.07,RO,1660451148
344,Gemeente Hoorn,52.6431,5.0578,69.96,80,0,10.49,NL,1660450995
345,Mergen,49.1833,125.2167,76.62,55,91,2.37,CN,1660451148
346,Kokorevka,52.5872,34.2778,67.35,69,96,6.8,RU,1660451149
347,La Romana,18.4273,-68.9728,75.85,91,48,7.99,DO,1660451149
348,Smithers,54.7804,-127.1743,59.32,94,100,0.0,CA,1660451150
349,Haverfordwest,51.8017,-4.9691,63.55,58,83,6.24,GB,1660451151
350,Tornio,65.8481,24.1466,57.22,78,52,6.71,FI,1660451151
351,Kalianget,-7.05,113.9333,83.97,70,81,11.03,ID,1660451152
352,Caravelas,-17.7125,-39.2481,69.82,66,98,7.16,BR,1660451152
353,Hithadhoo,-0.6,73.0833,82.6,70,72,3.91,MV,1660450759
354,Soe,-9.8607,124.284,81.5,41,3,10.65,ID,1660451153
355,Tegul'det,57.3064,88.1667,64.89,77,88,11.45,RU,1660451153
